,pred,truth
4,-4.27E-02,6.49E-02
6,4.00E-02,7.98E-02
8,5.46E-02,1.35E-01
10,1.08E-01,1.79E-01
12,1.51E-01,1.54E-01
14,1.27E-01,1.58E-01
16,1.31E-01,2.42E-01
18,2.10E-01,3.16E-01
20,2.78E-01,2.69E-01
22,2.35E-01,3.42E-01
24,3.03E-01,3.45E-01
26,3.05E-01,4.37E-01
28,3.91E-01,4.68E-01
30,4.21E-01,4.79E-01
32,4.32E-01,4.50E-01
34,4.04E-01,5.10E-01
36,4.61E-01,5.39E-01
38,4.89E-01,5.88E-01
40,5.36E-01,5.96E-01
42,5.44E-01,6.13E-01
44,5.61E-01,7.09E-01
46,6.52E-01,6.55E-01
48,6.01E-01,7.09E-01
50,6.52E-01,7.03E-01
52,6.46E-01,7.86E-01
54,7.20E-01,7.48E-01
56,6.87E-01,8.29E-01
58,7.57E-01,7.89E-01
60,7.23E-01,8.08E-01
62,7.39E-01,9.06E-01
64,8.18E-01,8.43E-01
66,7.68E-01,9.39E-01
68,8.42E-01,9.14E-01
70,8.23E-01,8.77E-01
72,7.96E-01,9.50E-01
74,8.50E-01,9.91E-01
76,8.78E-01,9.11E-01
78,8.22E-01,9.40E-01
80,8.43E-01,9.38E-01
82,8.41E-01,1.01E+00
84,8.94E-01,9.70E-01
86,8.64E-01,9.75E-01
88,8.67E-01,9.48E-01
90,8.48E-01,1.02E+00
92,8.96E-01,9.60E-01
94,8.57E-01,9.89E-01
96,8.77E-01,1.02E+00
98,8.95E-01,9.85E-01
100,8.74E-01,1.00E+00
102,8.84E-01,9.35E-01
104,8.39E-01,9.58E-01
106,8.56E-01,9.90E-01
108,8.78E-01,1.00E+00
110,8.85E-01,9.91E-01
112,8.78E-01,9.10E-01
114,8.21E-01,8.77E-01
116,7.96E-01,9.04E-01
118,8.16E-01,8.69E-01
120,7.89E-01,9.23E-01
122,8.30E-01,8.96E-01
124,8.10E-01,8.48E-01
126,7.72E-01,8.19E-01
128,7.48E-01,7.89E-01
130,7.23E-01,7.98E-01
132,7.31E-01,8.06E-01
134,7.37E-01,7.53E-01
136,6.91E-01,7.49E-01
138,6.88E-01,6.45E-01
140,5.91E-01,6.19E-01
142,5.67E-01,6.53E-01
144,5.99E-01,6.06E-01
146,5.54E-01,5.98E-01
148,5.46E-01,5.69E-01
150,5.18E-01,5.20E-01
152,4.71E-01,5.10E-01
154,4.61E-01,4.79E-01
156,4.32E-01,4.58E-01
158,4.12E-01,3.67E-01
160,3.25E-01,4.15E-01
162,3.70E-01,3.72E-01
164,3.30E-01,2.59E-01
166,2.26E-01,2.76E-01
168,2.41E-01,2.42E-01
170,2.10E-01,1.68E-01
172,1.40E-01,1.84E-01
174,1.55E-01,8.92E-02
176,6.38E-02,5.45E-02
178,2.99E-02,9.98E-02
180,7.42E-02,4.90E-03
182,-1.86E-02,4.00E-02
184,1.57E-02,5.10E-03
186,-1.84E-02,-5.98E-02
188,-8.10E-02,-1.05E-01
190,-1.24E-01,-1.89E-01
192,-2.03E-01,-2.04E-01
194,-2.16E-01,-2.28E-01
196,-2.39E-01,-2.12E-01
198,-2.24E-01,-2.46E-01
200,-2.55E-01,-3.39E-01
202,-3.42E-01,-3.72E-01
204,-3.72E-01,-3.55E-01
206,-3.56E-01,-4.07E-01
208,-4.05E-01,-3.98E-01
210,-3.97E-01,-4.69E-01
212,-4.64E-01,-4.70E-01
214,-4.64E-01,-5.50E-01
216,-5.40E-01,-5.29E-01
218,-5.20E-01,-6.18E-01
220,-6.05E-01,-5.96E-01
222,-5.84E-01,-6.03E-01
224,-5.90E-01,-6.89E-01
226,-6.72E-01,-6.85E-01
228,-6.68E-01,-7.39E-01
230,-7.18E-01,-7.83E-01
232,-7.57E-01,-7.96E-01
234,-7.68E-01,-7.48E-01
236,-7.26E-01,-8.39E-01
238,-8.05E-01,-8.39E-01
240,-8.05E-01,-8.78E-01
242,-8.37E-01,-9.16E-01
244,-8.66E-01,-8.93E-01
246,-8.48E-01,-9.39E-01
248,-8.83E-01,-9.24E-01
250,-8.72E-01,-9.17E-01
252,-8.67E-01,-9.30E-01
254,-8.77E-01,-9.71E-01
256,-9.07E-01,-9.81E-01
258,-9.14E-01,-9.60E-01
260,-8.99E-01,-9.68E-01
262,-9.05E-01,-9.85E-01
264,-9.16E-01,-1.04E+00
266,-9.53E-01,-1.03E+00
268,-9.49E-01,-1.01E+00
270,-9.32E-01,-9.89E-01
272,-9.19E-01,-9.80E-01
274,-9.13E-01,-1.02E+00
276,-9.40E-01,-9.88E-01
278,-9.18E-01,-9.65E-01
280,-9.02E-01,-9.50E-01
282,-8.92E-01,-9.95E-01
284,-9.23E-01,-9.88E-01
286,-9.19E-01,-9.70E-01
288,-9.06E-01,-9.81E-01
290,-9.14E-01,-9.61E-01
292,-9.00E-01,-9.50E-01
294,-8.91E-01,-9.17E-01
296,-8.67E-01,-9.04E-01
298,-8.57E-01,-9.19E-01
300,-8.68E-01,-9.03E-01
302,-8.56E-01,-8.56E-01
304,-8.19E-01,-8.08E-01
306,-7.79E-01,-8.09E-01
308,-7.79E-01,-8.39E-01
310,-8.05E-01,-8.18E-01
312,-7.87E-01,-8.06E-01
314,-7.77E-01,-7.83E-01
316,-7.57E-01,-7.59E-01
318,-7.36E-01,-6.85E-01
320,-6.68E-01,-6.59E-01
322,-6.44E-01,-6.23E-01
324,-6.09E-01,-6.66E-01
326,-6.50E-01,-6.38E-01
328,-6.24E-01,-6.09E-01
330,-5.97E-01,-5.30E-01
332,-5.21E-01,-5.40E-01
334,-5.31E-01,-4.99E-01
336,-4.92E-01,-4.58E-01
338,-4.53E-01,-4.57E-01
340,-4.52E-01,-3.35E-01
342,-3.38E-01,-3.12E-01
344,-3.17E-01,-2.69E-01
346,-2.77E-01,-2.36E-01
348,-2.46E-01,-2.02E-01
350,-2.15E-01,-1.78E-01
352,-1.92E-01,-1.94E-01
354,-2.07E-01,-1.79E-01
356,-1.94E-01,-1.25E-01
