,pred,truth
4,-4.54E-02,5.98E-02
6,-8.98E-02,1.35E-01
8,-1.33E-01,8.92E-02
10,-1.75E-01,1.34E-01
12,-2.14E-01,1.78E-01
14,-2.49E-01,2.52E-01
16,-2.80E-01,2.96E-01
18,-3.08E-01,2.79E-01
20,-3.32E-01,2.92E-01
22,-3.51E-01,3.55E-01
24,-3.68E-01,3.67E-01
26,-3.81E-01,3.88E-01
28,-3.91E-01,4.29E-01
30,-4.00E-01,5.20E-01
32,-4.06E-01,5.30E-01
34,-4.11E-01,5.39E-01
36,-4.15E-01,5.38E-01
38,-4.18E-01,6.16E-01
40,-4.21E-01,5.93E-01
42,-4.22E-01,6.79E-01
44,-4.24E-01,6.75E-01
46,-4.25E-01,7.39E-01
48,-4.25E-01,7.33E-01
50,-4.26E-01,7.66E-01
52,-4.27E-01,8.28E-01
54,-4.27E-01,8.19E-01
56,-4.27E-01,8.09E-01
58,-4.27E-01,8.58E-01
60,-4.27E-01,8.46E-01
62,-4.28E-01,9.13E-01
64,-4.28E-01,8.89E-01
66,-4.28E-01,8.84E-01
68,-4.28E-01,9.27E-01
70,-4.28E-01,9.20E-01
72,-4.28E-01,9.11E-01
74,-4.28E-01,9.41E-01
76,-4.28E-01,9.50E-01
78,-4.28E-01,9.28E-01
80,-4.28E-01,9.45E-01
82,-4.28E-01,9.80E-01
84,-4.28E-01,1.02E+00
86,-4.28E-01,9.78E-01
88,-4.28E-01,1.03E+00
90,-4.28E-01,1.01E+00
92,-4.28E-01,1.03E+00
94,-4.28E-01,1.04E+00
96,-4.28E-01,1.02E+00
98,-4.28E-01,9.70E-01
100,-4.28E-01,9.75E-01
102,-4.28E-01,9.98E-01
104,-4.28E-01,1.01E+00
106,-4.28E-01,9.71E-01
108,-4.28E-01,9.21E-01
110,-4.28E-01,9.10E-01
112,-4.28E-01,9.57E-01
114,-4.28E-01,9.04E-01
116,-4.28E-01,8.99E-01
118,-4.28E-01,9.03E-01
120,-4.28E-01,8.16E-01
122,-4.28E-01,8.18E-01
124,-4.28E-01,8.39E-01
126,-4.28E-01,8.39E-01
128,-4.28E-01,7.48E-01
130,-4.28E-01,7.16E-01
132,-4.28E-01,7.13E-01
134,-4.28E-01,6.99E-01
136,-4.28E-01,6.75E-01
138,-4.28E-01,6.59E-01
140,-4.28E-01,6.43E-01
142,-4.28E-01,5.96E-01
144,-4.28E-01,5.38E-01
146,-4.28E-01,5.79E-01
148,-4.28E-01,5.20E-01
150,-4.28E-01,4.60E-01
152,-4.28E-01,4.99E-01
154,-4.28E-01,4.48E-01
156,-4.28E-01,3.77E-01
158,-4.28E-01,4.15E-01
160,-4.28E-01,3.02E-01
162,-4.28E-01,2.89E-01
164,-4.28E-01,3.06E-01
166,-4.28E-01,2.62E-01
168,-4.28E-01,2.08E-01
170,-4.28E-01,2.04E-01
172,-4.28E-01,1.39E-01
174,-4.28E-01,1.45E-01
176,-4.28E-01,8.98E-02
178,-4.28E-01,1.49E-02
180,-4.28E-01,-4.00E-02
182,-4.28E-01,-6.49E-02
184,-4.28E-01,-1.20E-01
186,-4.28E-01,-9.45E-02
188,-4.28E-01,-1.09E-01
190,-4.28E-01,-2.24E-01
192,-4.28E-01,-1.78E-01
194,-4.28E-01,-2.42E-01
196,-4.28E-01,-3.26E-01
198,-4.28E-01,-3.59E-01
200,-4.28E-01,-3.12E-01
202,-4.28E-01,-4.05E-01
204,-4.28E-01,-4.07E-01
206,-4.28E-01,-4.88E-01
208,-4.28E-01,-4.89E-01
210,-4.28E-01,-5.50E-01
212,-4.28E-01,-5.50E-01
214,-4.28E-01,-6.09E-01
216,-4.28E-01,-5.48E-01
218,-4.28E-01,-5.76E-01
220,-4.28E-01,-6.83E-01
222,-4.28E-01,-6.99E-01
224,-4.28E-01,-6.65E-01
226,-4.28E-01,-7.69E-01
228,-4.28E-01,-7.33E-01
230,-4.28E-01,-7.26E-01
232,-4.28E-01,-8.38E-01
234,-4.28E-01,-8.59E-01
236,-4.28E-01,-8.29E-01
238,-4.28E-01,-8.88E-01
240,-4.28E-01,-8.76E-01
242,-4.28E-01,-8.93E-01
244,-4.28E-01,-9.39E-01
246,-4.28E-01,-8.94E-01
248,-4.28E-01,-9.57E-01
250,-4.28E-01,-9.50E-01
252,-4.28E-01,-9.21E-01
254,-4.28E-01,-9.31E-01
256,-4.28E-01,-9.30E-01
258,-4.28E-01,-9.98E-01
260,-4.28E-01,-1.02E+00
262,-4.28E-01,-1.04E+00
264,-4.28E-01,-1.00E+00
266,-4.28E-01,-9.58E-01
268,-4.28E-01,-1.01E+00
270,-4.28E-01,-9.90E-01
272,-4.28E-01,-9.79E-01
274,-4.28E-01,-9.88E-01
276,-4.28E-01,-1.01E+00
278,-4.28E-01,-9.70E-01
280,-4.28E-01,-9.95E-01
282,-4.28E-01,-9.88E-01
284,-4.28E-01,-9.30E-01
286,-4.28E-01,-9.41E-01
288,-4.28E-01,-9.81E-01
290,-4.28E-01,-9.60E-01
292,-4.28E-01,-9.77E-01
294,-4.28E-01,-8.74E-01
296,-4.28E-01,-8.89E-01
298,-4.28E-01,-8.53E-01
300,-4.28E-01,-8.66E-01
302,-4.28E-01,-8.68E-01
304,-4.28E-01,-8.79E-01
306,-4.28E-01,-7.99E-01
308,-4.28E-01,-8.28E-01
310,-4.28E-01,-7.56E-01
312,-4.28E-01,-7.43E-01
314,-4.28E-01,-6.89E-01
316,-4.28E-01,-7.15E-01
318,-4.28E-01,-6.79E-01
320,-4.28E-01,-6.63E-01
322,-4.28E-01,-6.56E-01
324,-4.28E-01,-5.68E-01
326,-4.28E-01,-5.19E-01
328,-4.28E-01,-4.90E-01
330,-4.28E-01,-4.60E-01
332,-4.28E-01,-5.19E-01
334,-4.28E-01,-4.88E-01
336,-4.28E-01,-3.67E-01
338,-4.28E-01,-3.85E-01
340,-4.28E-01,-3.72E-01
342,-4.28E-01,-3.39E-01
344,-4.28E-01,-2.36E-01
346,-4.28E-01,-2.52E-01
348,-4.28E-01,-2.38E-01
350,-4.28E-01,-1.94E-01
352,-4.28E-01,-1.19E-01
354,-4.28E-01,-9.45E-02
356,-4.28E-01,-7.98E-02
