,pred_sin,pred_cos,truth_sin,truth_cos
0,0.0026728027,0.018771648,1.0392448,1.0610083
1,0.0026728027,0.13065916,1.0392448,1.0607504
2,0.027137715,0.12106676,1.0258334,0.9672835
3,0.056015234,0.09167834,1.0155289,1.0030669
4,0.06986727,-0.03799522,1.0124753,1.0605092
5,0.047350388,-0.13354778,1.0281566,1.0415634
6,0.0117967315,0.19059338,1.0431128,1.0734885
7,0.051413488,0.15228991,1.0133396,0.90204424
8,0.09347637,0.20883311,0.99950033,0.94138896
9,0.1361823,0.15828934,0.9819022,1.0327989
10,0.15133817,0.2512085,0.98377556,0.9446138
11,0.19655114,0.33747098,0.96408,1.0092529
12,0.23892362,0.20316865,0.9475721,1.0233551
13,0.24535687,0.4065171,0.95588726,0.98369694
14,0.2919463,0.21267526,0.92954147,0.8955276
15,0.30032334,0.27702194,0.93636763,1.0143883
16,0.30489647,0.11739498,0.9336287,0.7443355
17,0.31062874,0.29981261,0.93536556,1.00411
18,0.31639224,0.22915113,0.92690045,1.2230575
19,0.28805384,0.21227951,0.94767284,0.9962621
20,0.29190433,0.32576922,0.9463395,0.7199088
21,0.33892256,0.34885988,0.9153003,0.838483
22,0.36122444,0.29780367,0.9049039,1.0152321
23,0.352609,0.3635134,0.91596675,1.0489858
24,0.35645866,0.42985785,0.91410255,0.84324265
25,0.39368945,0.32856375,0.8923935,0.91185236
26,0.39354298,0.3895532,0.89675814,0.7425907
27,0.42639843,0.46933168,0.87627536,1.1234056
28,0.4154048,0.43716198,0.8824312,1.025556
29,0.4211093,0.62944084,0.88423586,0.8242254
30,0.475256,0.45299402,0.8447034,0.7160121
31,0.5013287,0.6776666,0.8344932,0.8170715
32,0.53859466,0.3693559,0.8043582,0.63367003
33,0.5522593,0.44819793,0.8057963,0.86310273
34,0.5427035,0.43498546,0.8105124,0.72894436
35,0.5552974,0.5980128,0.8040864,0.9283695
36,0.5590121,0.48236418,0.79755634,0.8177155
37,0.56623125,0.59532523,0.79941636,0.66170835
38,0.6004842,0.6431069,0.77035546,0.6499116
39,0.6323181,0.48706716,0.74710757,0.78537077
40,0.6280118,0.623363,0.7597182,0.8831301
41,0.62965316,0.6267073,0.7578634,0.5165688
42,0.67376006,0.7251475,0.7239208,0.7407801
43,0.6836612,0.8665524,0.71264845,0.735075
44,0.70690423,0.79528356,0.6921732,0.5242842
45,0.7420849,0.7481671,0.6618786,0.6759822
46,0.74862534,0.69863605,0.65541124,0.7718901
47,0.7458603,0.85487896,0.6614771,0.65413904
48,0.7674834,0.63033885,0.63349426,0.64125234
49,0.7755432,0.6572877,0.6309401,0.4447997
50,0.8030719,0.64250755,0.5939334,0.9163006
51,0.77314705,0.8223612,0.6241214,0.49167114
52,0.81267023,0.8552245,0.5797876,0.6454881
53,0.82349074,0.73656064,0.56250226,0.5953693
54,0.83589447,0.91491437,0.55360115,0.4475332
55,0.86043394,1.0460484,0.51368654,0.42235956
56,0.8825997,0.816273,0.47708994,0.5905961
57,0.8841946,0.8188455,0.48499942,0.6368101
58,0.87974,0.83683723,0.49126202,0.39274892
59,0.8961731,0.96166545,0.46742862,0.40033922
60,0.90572333,0.79928476,0.44537154,0.44218177
61,0.91117495,0.8467919,0.44347376,0.542626
62,0.9058761,0.9318771,0.44895503,0.46679926
63,0.91100127,1.0254854,0.4394473,0.46644366
64,0.9156447,0.9474188,0.4279187,0.4277709
65,0.92367935,1.0292014,0.4173622,0.5278509
66,0.92130566,0.88762766,0.4158881,0.32266647
67,0.9371284,0.97223,0.39283413,0.38866338
68,0.94005257,1.0347877,0.37814465,0.2806708
69,0.95232713,0.95001054,0.34949017,0.3546151
70,0.9576038,0.9258992,0.34015957,0.284079
71,0.9653679,1.0577573,0.32190585,0.30151132
72,0.96876657,0.8159789,0.30538055,0.44719455
73,0.96771634,1.0134873,0.32064945,0.44537312
74,0.9626931,0.84259087,0.32293677,0.3673517
75,0.96948683,1.1365489,0.31926745,0.3739293
76,0.9682168,1.012868,0.3056368,0.15115066
77,0.99036324,0.8816734,0.26153895,0.2281806
78,1.000717,0.8981504,0.23599769,0.058966406
79,1.017702,0.9984762,0.18010996,0.12392296
80,1.0265023,0.9928705,0.14035498,0.21217048
81,1.0320231,1.0409913,0.12167161,0.12346294
82,1.0379086,0.8670214,0.092283405,0.111775935
83,1.0450549,0.9712131,0.06830753,0.1918177
84,1.0427729,1.1097751,0.0626234,0.060813505
85,1.0448065,1.1484557,0.039851516,0.046986677
86,1.047601,0.9910294,0.02030282,0.20886874
87,1.0502763,1.0851154,0.024533013,-0.06163235
88,1.0532609,1.0170207,-0.009186259,-0.084031366
89,1.0585548,1.0246516,-0.04090689,0.10638687
90,1.058198,1.0202863,-0.038873702,0.034146987
91,1.0594561,1.1416838,-0.048644304,-0.10714042
92,1.0570078,1.0974165,-0.07287764,-0.081421345
93,1.05673,0.97843206,-0.09096184,-0.10487992
94,1.055145,1.0064722,-0.11307769,-0.099660225
95,1.0499299,0.93803525,-0.12924068,-0.0041644303
96,1.0491146,0.93896633,-0.13158728,-0.1670581
97,1.0427405,1.0081894,-0.15804765,0.027681435
98,1.0413064,1.0340595,-0.14752717,-0.16108774
99,1.0365928,1.0130436,-0.16770197,-0.1930328
100,1.0318071,1.0592368,-0.18897082,-0.1032256
101,1.0286416,1.0954958,-0.19088466,-0.29767045
102,1.0199121,0.8358008,-0.21825355,-0.34789532
103,1.0119026,1.0013375,-0.2627868,-0.23428825
104,1.0020595,1.1510845,-0.27213567,-0.1655942
105,0.99929154,0.74000996,-0.26559317,-0.3005825
106,0.9934869,1.0878309,-0.3122311,-0.17860919
107,0.98377013,0.96416515,-0.3055424,-0.4268537
108,0.9722407,1.1092807,-0.35012665,-0.2256409
109,0.96830714,0.8837568,-0.34781337,-0.29706162
110,0.96403563,0.89564246,-0.37390885,-0.38851437
111,0.9501684,1.1537998,-0.4012743,-0.21076989
