,pred_sin,truth_sin,pred_cos,truth_cos
0,0.041679297,0.018771648,1.0249281,1.0610083
1,0.0462906,0.13065916,1.0235584,1.0607504
2,0.051311668,0.12106676,1.0220761,0.9672835
3,0.057041388,0.09167834,1.0206103,1.0030669
4,0.06361734,-0.03799522,1.0188982,1.0605092
5,0.07122223,-0.13354778,1.0168918,1.0415634
6,0.08005379,0.19059338,1.014526,1.0734885
7,0.09031935,0.15228991,1.0117344,0.90204424
8,0.10221335,0.20883311,1.0084506,0.94138896
9,0.11590071,0.15828934,1.0046153,1.0327989
10,0.13140753,0.2512085,1.0002011,0.9446138
11,0.14507103,0.33747098,0.9962773,1.0092529
12,0.1596183,0.20316865,0.9920486,1.0233551
13,0.17496821,0.4065171,0.9874809,0.98369694
14,0.1909431,0.21267526,0.98261535,0.8955276
15,0.20731908,0.27702194,0.97750986,1.0143883
16,0.22385535,0.11739498,0.9722273,0.7443355
17,0.24032395,0.29981261,0.96682936,1.00411
18,0.2565319,0.22915113,0.96136945,1.2230575
19,0.27233034,0.21227951,0.9558912,0.9962621
20,0.28760925,0.32576922,0.95042926,0.7199088
21,0.30229685,0.34885988,0.9450107,0.838483
22,0.3166489,0.29780367,0.93953824,1.0152321
23,0.33072525,0.3635134,0.9339805,1.0489858
24,0.34458682,0.42985785,0.9283086,0.84324265
25,0.35829026,0.32856375,0.9224928,0.91185236
26,0.3718845,0.3895532,0.9165049,0.7425907
27,0.38540706,0.46933168,0.9103179,1.1234056
28,0.39888716,0.43716198,0.9039056,1.025556
29,0.4123509,0.62944084,0.8972396,0.8242254
30,0.42583007,0.45299402,0.89028615,0.7160121
31,0.43937117,0.6776666,0.88300025,0.8170715
32,0.45304534,0.3693559,0.87531924,0.63367003
33,0.4669189,0.44819793,0.86717904,0.86310273
34,0.48107144,0.43498546,0.8585058,0.72894436
35,0.49559155,0.5980128,0.84921706,0.9283695
36,0.5105671,0.48236418,0.8392316,0.8177155
37,0.5260635,0.59532523,0.82848907,0.66170835
38,0.542089,0.6431069,0.81698614,0.6499116
39,0.5585497,0.48706716,0.80482763,0.78537077
40,0.5752094,0.623363,0.7922707,0.8831301
41,0.591691,0.6267073,0.77972364,0.5165688
42,0.6075398,0.7251475,0.76766205,0.7407801
43,0.62233114,0.8665524,0.75649947,0.735075
44,0.6357698,0.79528356,0.74648416,0.5242842
45,0.64773256,0.7481671,0.73767143,0.6759822
46,0.65825844,0.69863605,0.72995985,0.7718901
47,0.6675105,0.85487896,0.7231467,0.65413904
48,0.67573214,0.63033885,0.7169714,0.64125234
49,0.6832124,0.6572877,0.7111426,0.4447997
50,0.6902662,0.64250755,0.70534784,0.9163006
51,0.69722414,0.8223612,0.6992528,0.49167114
52,0.70443505,0.8552245,0.6924924,0.6454881
53,0.71227574,0.73656064,0.6846555,0.5953693
54,0.72117347,0.91491437,0.6752521,0.4475332
55,0.7316439,1.0460484,0.6636608,0.42235956
56,0.7443352,0.816273,0.64905864,0.5905961
57,0.76002556,0.8188455,0.6303992,0.6368101
58,0.7794151,0.83683723,0.60665315,0.39274892
59,0.8024417,0.96166545,0.5777365,0.40033922
60,0.82726145,0.79928476,0.54602414,0.44218177
61,0.850423,0.8467919,0.5161333,0.542626
62,0.8692145,0.9318771,0.49155703,0.46679926
63,0.8832521,1.0254854,0.47269112,0.46644366
64,0.8936049,0.9474188,0.45816615,0.4277709
65,0.901535,1.0292014,0.44641122,0.5278509
66,0.90800506,0.88762766,0.43621564,0.32266647
67,0.9136475,0.97223,0.42675668,0.38866338
68,0.91884655,1.0347877,0.41751528,0.2806708
69,0.92379713,0.95001054,0.40823734,0.3546151
70,0.9285312,0.9258992,0.3989477,0.284079
71,0.93297386,1.0577573,0.38988903,0.30151132
72,0.93706423,0.8159789,0.3812814,0.44719455
73,0.94083995,1.0134873,0.37311837,0.44537312
74,0.94441324,0.84259087,0.36519793,0.3673517
75,0.9479167,1.1365489,0.35724142,0.3739293
76,0.95147234,1.012868,0.34896666,0.15115066
77,0.9551843,0.8816734,0.34010595,0.2281806
78,0.9591401,0.8981504,0.330405,0.058966406
79,0.96341383,0.9984762,0.3196152,0.12392296
80,0.96807534,0.9928705,0.3074682,0.21217048
81,0.9732107,1.0409913,0.29361433,0.12346294
82,0.97895724,0.8670214,0.27751604,0.111775935
83,0.9855247,0.9712131,0.25835904,0.1918177
84,0.99317914,1.1097751,0.23509628,0.060813505
85,1.0021502,1.1484557,0.20677245,0.046986677
86,1.0123948,0.9910294,0.17335835,0.20886874
87,1.0232307,1.0851154,0.13690633,-0.06163235
88,1.0332942,1.0170207,0.10155293,-0.084031366
89,1.0413852,1.0246516,0.07104785,0.10638687
90,1.0473515,1.0202863,0.04631459,0.034146987
91,1.0517682,1.1416838,0.026098728,-0.10714042
92,1.0551143,1.0974165,0.009017516,-0.081421345
93,1.0575048,0.97843206,-0.005586304,-0.10487992
94,1.0589304,1.0064722,-0.018139802,-0.099660225
95,1.0594496,0.93803525,-0.02946376,-0.0041644303
96,1.05913,0.93896633,-0.04093717,-0.1670581
97,1.0579458,1.0081894,-0.05438187,0.027681435
98,1.0557929,1.0340595,-0.07148797,-0.16108774
99,1.0526562,1.0130436,-0.09258727,-0.1930328
100,1.0487455,1.0592368,-0.11606232,-0.1032256
101,1.0444345,1.0954958,-0.13943368,-0.29767045
102,1.0400932,0.8358008,-0.1607216,-0.34789532
103,1.0359424,1.0013375,-0.17908984,-0.23428825
104,1.032014,1.1510845,-0.19473973,-0.1655942
105,1.028216,0.74000996,-0.20837644,-0.3005825
106,1.0244004,1.0878309,-0.22079891,-0.17860919
107,1.0203865,0.96416515,-0.23277211,-0.4268537
