,pred_sin,truth_sin,pred_cos,truth_cos,pred_cubic,truth_cubic
0,0.0828712,0.0061417683,0.9560985,1.0291425,0.9888281,0.9578899
1,0.0828712,-0.096978106,0.9560985,1.104278,0.9888281,1.0429155
2,0.07905197,-0.031091316,0.9550112,1.0200504,0.99075025,0.8332456
3,0.07816477,0.011613633,0.957617,0.95059395,0.99162227,0.9315108
4,0.07888072,0.05156295,0.95567685,1.1583686,0.9906407,1.0288736
5,0.0811053,0.1820635,0.9554984,1.0639325,0.9893163,0.77777815
6,0.08890533,-0.022495346,0.96016115,0.90010023,0.98558176,0.7355511
7,0.08762742,0.305589,0.9581376,0.9028369,0.9826437,0.80033904
8,0.10121515,0.13013557,0.95861477,0.89551795,0.971078,0.71240294
9,0.10797966,0.23148495,0.9599529,1.0747886,0.96136564,0.7872281
10,0.12215939,0.22524066,0.96226555,1.0443897,0.9443533,0.6974269
11,0.14318822,0.30511034,0.96957713,1.151474,0.91986513,0.71959955
12,0.20953968,0.1871793,0.988807,0.9062322,0.8397976,0.74842244
13,0.25605738,0.11341714,0.9993455,1.1935204,0.789093,0.73049235
14,0.2896454,0.33406562,1.0027837,0.8248309,0.7463508,0.64854974
15,0.34295228,0.33880618,1.0006042,0.865661,0.6951565,0.71258074
16,0.35614666,0.31287247,0.99225074,1.0693359,0.6765525,0.5137352
17,0.40108943,0.2971704,0.98237675,1.08179,0.60544693,0.7867595
18,0.39337716,0.19344583,0.9840427,0.82969296,0.61679196,0.75326157
19,0.40321624,0.40644407,0.9797383,0.9893295,0.5991586,0.5501879
20,0.42505682,0.49850184,0.969668,0.905619,0.56701267,0.6079926
21,0.448737,0.44418418,0.95561343,0.92372763,0.53710955,0.49307704
22,0.46100488,0.26089758,0.94535226,0.9705169,0.51986516,0.3948688
23,0.4727691,0.49526867,0.9304856,1.0988603,0.49658766,0.55482364
24,0.4968493,0.34542644,0.9087093,1.0351331,0.45817482,0.6794154
25,0.49093106,0.43887517,0.9138394,0.9532233,0.4692922,0.46466023
26,0.5031961,0.46974567,0.90677756,1.0851262,0.45451543,0.29406568
27,0.51452,0.46938497,0.89686066,1.0098785,0.43552732,0.53021115
28,0.5226204,0.3579271,0.88537276,0.8361976,0.422645,0.5265749
29,0.5324945,0.7341612,0.87323964,0.94644094,0.41001958,0.52286464
30,0.54934305,0.46263778,0.85813755,0.9032331,0.38171822,0.3285498
31,0.5529137,0.63114107,0.85811806,0.81690747,0.38230756,0.39147523
32,0.56192505,0.355613,0.8463907,0.8098995,0.3651289,0.48392358
33,0.55971974,0.35839766,0.8434293,0.78376883,0.36956412,0.35903072
34,0.5601284,0.66742826,0.8419841,0.7692884,0.36721346,0.28661168
35,0.5850007,0.54700744,0.8203078,0.79294455,0.32790875,0.34361765
36,0.5918121,0.72250444,0.8131207,0.83521,0.31973147,0.37464678
37,0.60106105,0.640753,0.8035417,1.0240312,0.30313492,0.24542525
38,0.60782963,0.55194277,0.79899687,0.72941905,0.29180038,0.212792
39,0.62367207,0.65437573,0.78220046,0.8114139,0.26698285,0.23659785
40,0.62585044,0.6063892,0.77642053,0.67455906,0.25845432,0.09278829
41,0.6426778,0.7380218,0.76069295,0.82753223,0.23437501,0.27024156
42,0.64199334,0.55355585,0.7578014,0.8007099,0.23093012,0.24053556
43,0.65598947,0.48513618,0.74278575,0.7433598,0.20807283,0.03477075
44,0.67731595,0.67609614,0.7155466,0.72028863,0.16808942,0.055458978
45,0.6862781,0.75709,0.704773,0.6753605,0.1520258,0.19935733
46,0.7061054,0.8066737,0.6833083,0.87105095,0.123006076,0.1313763
47,0.7139635,0.7821398,0.67621213,0.7748111,0.10965346,0.15011683
48,0.72766966,0.6632594,0.66265374,0.7650065,0.09122224,0.14227255
49,0.7321169,0.6901111,0.65711564,0.60261,0.085688934,-0.15231721
50,0.7509024,0.71902186,0.63407713,0.7359069,0.052991692,0.118129
51,0.7499068,0.77794325,0.63495624,0.6192919,0.05746777,-0.1225435
52,0.76663065,0.761051,0.61735064,0.59866935,0.030696224,0.016847758
53,0.7842809,0.93053234,0.5978756,0.5462854,0.008159321,-0.08574781
54,0.8052453,0.9234053,0.57320803,0.4254985,-0.027229698,-0.045765564
55,0.82204187,0.6679196,0.554803,0.4626658,-0.049424745,0.073932044
56,0.8274606,0.62421525,0.5512497,0.5091949,-0.046832707,-0.0944065
57,0.83258307,0.8842025,0.54143953,0.6989437,-0.059596088,-0.11574886
58,0.8412969,0.8403945,0.5333391,0.4894222,-0.07539955,-0.057136185
59,0.8612492,0.9368912,0.51233387,0.51047266,-0.09968971,-0.038929418
60,0.8643971,0.67902356,0.5073258,0.55535793,-0.10700449,-0.07762845
61,0.8809479,0.94971657,0.49135682,0.57267267,-0.12014787,0.013067497
62,0.8792182,0.9123932,0.48936704,0.5437452,-0.12570034,0.01633288
63,0.89075255,0.91701674,0.47898516,0.36368313,-0.13641511,-0.19509956
64,0.8936041,0.9025992,0.46545753,0.4412799,-0.1552571,-0.2447773
65,0.89516276,0.89452225,0.4633256,0.4346488,-0.15825582,-0.083511665
66,0.91049355,0.85568655,0.4455078,0.4992705,-0.17400841,-0.22868125
67,0.9219063,0.8180868,0.42971876,0.4513431,-0.19155923,-0.17948377
68,0.9314006,0.891051,0.4142925,0.36265945,-0.20474221,-0.3655068
69,0.9392901,0.739085,0.39185795,0.47164053,-0.23165767,-0.30372608
70,0.94688624,1.1094483,0.38651243,0.3426129,-0.2315612,-0.015596374
71,0.95833045,0.92424476,0.36302468,0.1474748,-0.25661924,-0.42399636
72,0.97538084,0.92670053,0.3182957,0.1908755,-0.3005542,-0.15827003
73,0.9911212,0.81365234,0.28740475,0.24227436,-0.31948334,-0.31216165
74,0.9930209,0.93976694,0.28086856,0.15284015,-0.32405525,-0.33597758
75,0.9939658,0.9622903,0.26457733,0.2477015,-0.33965346,-0.29481956
76,1.0038164,1.0720458,0.24678302,0.248166,-0.35016903,-0.5284348
77,1.0077984,0.88325715,0.21864349,0.13850336,-0.37432578,-0.44845253
78,1.0171354,1.139599,0.17770034,0.16245435,-0.39316848,-0.4873843
79,1.0151052,1.0629642,0.16429183,0.1743566,-0.40665781,-0.28863358
80,1.0247066,1.0864633,0.1342489,0.31768617,-0.41764736,-0.3353319
81,1.0272903,1.0080322,0.110836595,0.16901919,-0.43179315,-0.38797632
82,1.0249602,0.99368125,0.119920194,0.1446988,-0.42694217,-0.44788864
83,1.0236781,0.98936456,0.0982483,0.00951442,-0.44122437,-0.39256626
84,1.0205022,1.0653131,0.072402105,0.05342582,-0.45807937,-0.39890248
85,1.0195962,0.8886811,0.06411843,0.12753657,-0.46494657,-0.24482167
86,1.0231915,1.03284,0.050801154,0.14920746,-0.4675039,-0.61555666
87,1.0149963,0.9907723,0.04556616,0.023251222,-0.48004398,-0.4988537
88,1.014583,0.9112094,0.03599037,-0.016297186,-0.48486307,-0.47501963
89,1.0131098,0.95470846,0.029316422,0.16839285,-0.48825136,-0.35073406
90,1.0164729,0.9989876,0.028391007,0.10072099,-0.48670366,-0.5535829
91,1.0069101,1.0100498,0.0018618181,0.04189587,-0.51230836,-0.7610051
92,0.99837303,1.0128847,-0.022128873,-0.10058264,-0.5349453,-0.47209394
93,0.99495023,1.0125978,-0.0405699,-0.1368351,-0.54713434,-0.4464265
94,0.99262154,0.8520955,-0.048101258,-0.051945925,-0.55324477,-0.6339206
95,0.9896488,0.93218344,-0.062110852,-0.101501465,-0.5631392,-0.3880051
96,0.98257923,0.87338525,-0.08724466,-0.20254444,-0.5824275,-0.528975
97,0.975084,1.0521305,-0.10489771,0.07837536,-0.59679437,-0.388994
98,0.98384166,1.005764,-0.08980611,-0.10464314,-0.58559906,-0.7054795
99,0.9754514,1.1706703,-0.09753221,-0.1381585,-0.59601825,-0.5855669
100,0.96814024,1.1118772,-0.123499215,-0.2169574,-0.6166248,-0.6763114
101,0.9621312,0.8676703,-0.14543964,-0.21847068,-0.6314597,-0.5496026
102,0.9628893,0.9182923,-0.1579739,-0.12824832,-0.6332906,-0.5762668
103,0.9617176,0.94877636,-0.16265823,-0.28715393,-0.6364044,-0.56807417
104,0.9559988,0.8558636,-0.176278,-0.12533738,-0.6453081,-0.71893805
105,0.95854205,0.97143114,-0.1776451,-0.15067852,-0.6451007,-0.5602038
106,0.95699805,0.83608645,-0.1848812,-0.34414393,-0.6487315,-0.6464705
107,0.95162624,0.8331719,-0.19470373,-0.30185986,-0.6542019,-0.6753554
108,0.94110817,1.0944653,-0.2617205,-0.12827493,-0.67749083,-0.67415714
109,0.94439554,0.93607885,-0.2567057,-0.3110826,-0.6770855,-0.54874384
110,0.9368558,0.9533726,-0.31037977,-0.35969555,-0.69110644,-0.6879772
111,0.9296998,1.0409508,-0.33412993,-0.38815963,-0.7013425,-0.7637971
112,0.92434126,0.74616516,-0.35041255,-0.51602334,-0.7086514,-0.6048023
113,0.90773,0.96898514,-0.4193622,-0.50792855,-0.72863984,-0.62348837
114,0.90008867,0.889219,-0.4326873,-0.4779772,-0.73607033,-0.6571339
115,0.8914886,0.8101994,-0.45997596,-0.44072413,-0.7454774,-0.84647286
116,0.868751,0.6904269,-0.503387,-0.34154427,-0.76136005,-0.8184679
117,0.8702877,0.8793842,-0.504989,-0.5072262,-0.75977397,-0.80431145
118,0.8638489,0.78274107,-0.5060585,-0.45640403,-0.76283485,-0.899426
119,0.8434251,0.83196175,-0.5442131,-0.4270347,-0.7724665,-0.7345656
120,0.83578044,0.91481984,-0.55750555,-0.5775216,-0.77463865,-0.6305296
121,0.8267122,0.80615675,-0.56697226,-0.32677633,-0.7778159,-0.7409284
122,0.8218767,0.97097075,-0.57918197,-0.6563962,-0.77843344,-0.595322
123,0.82100904,0.9205568,-0.57151526,-0.6928339,-0.7793229,-0.8388328
124,0.80540264,0.73718214,-0.59043384,-0.6177367,-0.78469867,-0.66722035
125,0.79277736,0.5758014,-0.61326766,-0.5813919,-0.78876245,-0.8083847
126,0.77756256,1.023561,-0.63018477,-0.5847987,-0.7924285,-0.8188607
127,0.7834581,1.0237876,-0.61434704,-0.5757002,-0.78960955,-0.70315045
128,0.7899578,0.8505151,-0.61108893,-0.5659078,-0.7893552,-0.7984874
129,0.7934625,0.7953218,-0.60888565,-0.7638621,-0.787827,-0.81314594
130,0.7717301,0.73132735,-0.6306068,-0.7040463,-0.79441124,-0.9493693
131,0.74946594,0.9170735,-0.6548455,-0.7183544,-0.802475,-0.9604719
132,0.72890097,0.69081324,-0.6701079,-0.64930254,-0.81169885,-0.9320716
133,0.7062311,0.66030556,-0.69525087,-0.5250829,-0.825135,-0.9403208
134,0.6990107,0.63236064,-0.70129615,-0.8153637,-0.8279252,-0.92766726
135,0.67896384,0.81429774,-0.7137365,-0.84670633,-0.8369215,-0.98518705
136,0.68791986,0.7121508,-0.7038028,-0.7009026,-0.8315255,-0.98452103
137,0.6636271,0.7623901,-0.7259103,-0.81021786,-0.8468608,-0.94422203
138,0.6307174,0.5865259,-0.7459861,-0.90139806,-0.8636259,-0.779912
139,0.60162807,0.7635054,-0.769569,-0.8733557,-0.8783889,-0.9804054
