,pred_sin,truth_sin,pred_cos,truth_cos,pred_cubic,truth_cubic
0,0.0828712,0.0061417683,0.9560985,1.0291425,0.9888281,0.9578899
1,0.085354276,-0.096978106,0.955929,1.104278,0.98833424,1.0429155
2,0.087735325,-0.031091316,0.9552801,1.0200504,0.98677224,0.8332456
3,0.090055846,0.011613633,0.9551303,0.95059395,0.9852885,0.9315108
4,0.092455804,0.05156295,0.9551026,1.1583686,0.9834431,1.0288736
5,0.095114134,0.1820635,0.955265,1.0639325,0.9811083,0.77777815
6,0.098277345,-0.022495346,0.9556685,0.90010023,0.9780053,0.7355511
7,0.10232065,0.305589,0.956435,0.9028369,0.97367257,0.80033904
8,0.10781507,0.13013557,0.95778245,0.89551795,0.967344,0.71240294
9,0.11561597,0.23148495,0.96008116,1.0747886,0.9578093,0.7872281
10,0.12709159,0.22524066,0.963929,1.0443897,0.9431754,0.6974269
11,0.13180974,0.30511034,0.965486,1.151474,0.9373317,0.71959955
12,0.13725899,0.1871793,0.9672546,0.9062322,0.93039083,0.74842244
13,0.1437132,0.11341714,0.96943957,1.1935204,0.92210567,0.73049235
14,0.15153636,0.33406562,0.97215015,0.8248309,0.91205364,0.64854974
15,0.16113934,0.33880618,0.97551364,0.865661,0.8998087,0.71258074
16,0.17293724,0.31287247,0.97961336,1.0693359,0.88499695,0.5137352
17,0.18723133,0.2971704,0.98441714,1.08179,0.8674653,0.7867595
18,0.20401105,0.19344583,0.98966175,0.82969296,0.847506,0.75326157
19,0.22278556,0.40644407,0.9947974,0.9893295,0.8259746,0.5501879
20,0.24259931,0.49850184,0.9991072,0.905619,0.80412865,0.6079926
21,0.26211557,0.44418418,1.0019888,0.92372763,0.7833908,0.49307704
22,0.28335297,0.26089758,1.0035645,0.9705169,0.7612921,0.3948688
23,0.30617917,0.49526867,1.0034215,1.0988603,0.7376304,0.55482364
24,0.33023873,0.34542644,1.001291,1.0351331,0.71185297,0.6794154
25,0.35471955,0.43887517,0.99722344,0.9532233,0.6830707,0.46466023
26,0.37853003,0.46974567,0.99159616,1.0851262,0.6502424,0.29406568
27,0.40128088,0.46938497,0.9841687,1.0098785,0.6136174,0.53021115
28,0.42368355,0.3579271,0.9733425,0.8361976,0.5762132,0.5265749
29,0.44596475,0.7341612,0.95857185,0.94644094,0.5409472,0.52286464
30,0.46748805,0.46263778,0.94111806,0.9032331,0.5085529,0.3285498
31,0.48765528,0.63114107,0.92256975,0.81690747,0.47877505,0.39147523
32,0.50614005,0.355613,0.90421146,0.8098995,0.4513401,0.48392358
33,0.5226347,0.35839766,0.8871058,0.78376883,0.42646942,0.35903072
34,0.537153,0.66742826,0.8717419,0.7692884,0.4042504,0.28661168
35,0.5499742,0.54700744,0.85812885,0.79294455,0.3844953,0.34361765
36,0.5614682,0.72250444,0.8460119,0.83521,0.36679456,0.37464678
37,0.5719665,0.640753,0.8350501,1.0240312,0.35064194,0.24542525
38,0.5817166,0.55194277,0.8249159,0.72941905,0.33553958,0.212792
39,0.5908933,0.65437573,0.81532896,0.8114139,0.32104728,0.23659785
40,0.59964395,0.6063892,0.80604285,0.67455906,0.30677733,0.09278829
41,0.60812,0.7380218,0.79682875,0.82753223,0.29238877,0.27024156
42,0.6164797,0.55355585,0.78748333,0.8007099,0.27761468,0.24053556
43,0.62488455,0.48513618,0.7778368,0.7433598,0.2622904,0.03477075
44,0.63351333,0.67609614,0.7677345,0.72028863,0.24631831,0.055458978
45,0.64255255,0.75709,0.7570371,0.6753605,0.2296464,0.19935733
46,0.6521709,0.8066737,0.74563456,0.87105095,0.21225862,0.1313763
47,0.66248304,0.7821398,0.7334741,0.7748111,0.19418171,0.15011683
48,0.6735164,0.6632594,0.7205877,0.7650065,0.17550044,0.14227255
49,0.6851899,0.6901111,0.7071073,0.60261,0.15637138,-0.15231721
50,0.6973264,0.71902186,0.6932513,0.7359069,0.13702439,0.118129
51,0.7096925,0.77794325,0.67928183,0.6192919,0.11774252,-0.1225435
52,0.7220563,0.761051,0.6654489,0.59866935,0.098813534,0.016847758
53,0.7342406,0.93053234,0.65193576,0.5462854,0.08046453,-0.08574781
54,0.7461463,0.9234053,0.63883686,0.4254985,0.062817484,-0.045765564
55,0.7577426,0.6679196,0.62617,0.4626658,0.04589124,0.073932044
56,0.7690358,0.62421525,0.61390954,0.5091949,0.02963632,-0.0944065
57,0.78004086,0.8842025,0.60201824,0.6989437,0.013979146,-0.11574886
58,0.7907628,0.8403945,0.59046596,0.4894222,-0.0011466574,-0.057136185
59,0.8011952,0.9368912,0.5792317,0.51047266,-0.015789421,-0.038929418
60,0.8113309,0.67902356,0.56829107,0.55535793,-0.029988147,-0.07762845
61,0.8211756,0.94971657,0.5575989,0.57267267,-0.043791663,0.013067497
62,0.8307609,0.9123932,0.547074,0.5437452,-0.057278305,0.01633288
