,pred,truth
4,7.22E-02,7.98E-02
6,4.97E-02,1.35E-01
8,1.67E-02,1.79E-01
10,-1.95E-02,1.54E-01
12,-5.63E-02,1.58E-01
14,-9.24E-02,2.42E-01
16,-1.27E-01,3.16E-01
18,-1.60E-01,2.69E-01
20,-1.91E-01,3.42E-01
22,-2.20E-01,3.45E-01
24,-2.46E-01,4.37E-01
26,-2.69E-01,4.68E-01
28,-2.90E-01,4.79E-01
30,-3.08E-01,4.50E-01
32,-3.24E-01,5.10E-01
34,-3.38E-01,5.39E-01
36,-3.51E-01,5.88E-01
38,-3.62E-01,5.96E-01
40,-3.71E-01,6.13E-01
42,-3.80E-01,7.09E-01
44,-3.87E-01,6.55E-01
46,-3.94E-01,7.09E-01
48,-3.99E-01,7.03E-01
50,-4.04E-01,7.86E-01
52,-4.08E-01,7.48E-01
54,-4.12E-01,8.29E-01
56,-4.15E-01,7.89E-01
58,-4.18E-01,8.08E-01
60,-4.21E-01,9.06E-01
62,-4.23E-01,8.43E-01
64,-4.25E-01,9.39E-01
66,-4.26E-01,9.14E-01
68,-4.28E-01,8.77E-01
70,-4.29E-01,9.50E-01
72,-4.30E-01,9.91E-01
74,-4.31E-01,9.11E-01
76,-4.32E-01,9.40E-01
78,-4.32E-01,9.38E-01
80,-4.33E-01,1.01E+00
82,-4.34E-01,9.70E-01
84,-4.34E-01,9.75E-01
86,-4.34E-01,9.48E-01
88,-4.35E-01,1.02E+00
90,-4.35E-01,9.60E-01
92,-4.35E-01,9.89E-01
94,-4.36E-01,1.02E+00
96,-4.36E-01,9.85E-01
98,-4.36E-01,1.00E+00
100,-4.36E-01,9.35E-01
102,-4.36E-01,9.58E-01
104,-4.36E-01,9.90E-01
106,-4.36E-01,1.00E+00
108,-4.36E-01,9.91E-01
110,-4.37E-01,9.10E-01
112,-4.37E-01,8.77E-01
114,-4.37E-01,9.04E-01
116,-4.37E-01,8.69E-01
118,-4.37E-01,9.23E-01
120,-4.37E-01,8.96E-01
122,-4.37E-01,8.48E-01
124,-4.37E-01,8.19E-01
126,-4.37E-01,7.89E-01
128,-4.37E-01,7.98E-01
130,-4.37E-01,8.06E-01
132,-4.37E-01,7.53E-01
134,-4.37E-01,7.49E-01
136,-4.37E-01,6.45E-01
138,-4.37E-01,6.19E-01
140,-4.37E-01,6.53E-01
142,-4.37E-01,6.06E-01
144,-4.37E-01,5.98E-01
146,-4.37E-01,5.69E-01
148,-4.37E-01,5.20E-01
150,-4.37E-01,5.10E-01
152,-4.37E-01,4.79E-01
154,-4.37E-01,4.58E-01
156,-4.37E-01,3.67E-01
158,-4.37E-01,4.15E-01
160,-4.37E-01,3.72E-01
162,-4.37E-01,2.59E-01
164,-4.37E-01,2.76E-01
166,-4.37E-01,2.42E-01
