,truth,pred
0,-2.00E-02,#N/A
2,6.49E-02,#N/A
4,7.98E-02,#N/A
6,1.35E-01,#N/A
8,1.79E-01,#N/A
10,1.54E-01,#N/A
12,1.58E-01,#N/A
14,2.42E-01,#N/A
16,3.16E-01,#N/A
18,2.69E-01,#N/A
20,3.42E-01,#N/A
22,3.45E-01,#N/A
24,4.37E-01,#N/A
26,4.68E-01,#N/A
28,4.79E-01,#N/A
30,4.50E-01,#N/A
32,5.10E-01,#N/A
34,5.39E-01,#N/A
36,5.88E-01,#N/A
38,5.96E-01,#N/A
40,6.13E-01,#N/A
42,7.09E-01,#N/A
44,6.55E-01,#N/A
46,7.09E-01,#N/A
48,7.03E-01,#N/A
50,7.86E-01,#N/A
52,7.48E-01,#N/A
54,8.29E-01,#N/A
56,7.89E-01,#N/A
58,8.08E-01,#N/A
60,9.06E-01,#N/A
62,8.43E-01,#N/A
64,9.39E-01,#N/A
66,9.14E-01,#N/A
68,8.77E-01,#N/A
70,9.50E-01,#N/A
72,9.91E-01,#N/A
74,9.11E-01,#N/A
76,9.40E-01,#N/A
78,9.38E-01,#N/A
80,1.01E+00,#N/A
82,9.70E-01,#N/A
84,9.75E-01,#N/A
86,9.48E-01,#N/A
88,1.02E+00,#N/A
90,9.60E-01,#N/A
92,9.89E-01,#N/A
94,1.02E+00,#N/A
96,9.85E-01,#N/A
98,1.00E+00,#N/A
100,9.35E-01,#N/A
102,9.58E-01,#N/A
104,9.90E-01,#N/A
106,1.00E+00,#N/A
108,9.91E-01,#N/A
110,9.10E-01,#N/A
112,8.77E-01,#N/A
114,9.04E-01,#N/A
116,8.69E-01,#N/A
118,9.23E-01,#N/A
120,8.96E-01,#N/A
122,8.48E-01,#N/A
124,8.19E-01,#N/A
126,7.89E-01,#N/A
128,7.98E-01,#N/A
130,8.06E-01,#N/A
132,7.53E-01,#N/A
134,7.49E-01,#N/A
136,6.45E-01,#N/A
138,6.19E-01,#N/A
140,6.53E-01,#N/A
142,6.06E-01,#N/A
144,5.98E-01,#N/A
146,5.69E-01,#N/A
148,5.20E-01,#N/A
150,5.10E-01,#N/A
152,4.79E-01,#N/A
154,4.58E-01,#N/A
156,3.67E-01,#N/A
158,4.15E-01,#N/A
160,3.72E-01,#N/A
